,id,longitude,latitude,accuracy,time
0,136,-4.304171,55.8773867,14.037,11:15:38
1,137,-4.3038276,55.8773748,15.274,11:15:48
2,138,-4.3036724,55.87746,12.101,11:16:00
3,139,-4.3036132,55.8775031,42.486,11:16:04
4,140,-4.3032221,55.8773548,9.44,11:16:15
5,141,-4.3030318,55.8773037,44.113,11:16:19
6,142,-4.3029324,55.877463,10.325,11:17:36
7,143,-4.3029324,55.877463,11.929,11:17:37
8,144,-4.3029105,55.8774311,10.331,11:17:48
9,145,-4.302898,55.8774128,12.76,11:17:52
10,146,-4.302628,55.8773791,12.638,11:18:03
11,147,-4.3024043,55.8773506,11.983,11:18:07
12,148,-4.3026196,55.8773234,12.168,11:18:18
13,149,-4.302804,55.8773065,7.427,11:18:23
14,150,-4.3018155,55.8773698,13.262,11:18:33
15,151,-4.3015874,55.8773667,10.104,11:18:37
16,152,-4.3013769,55.8773205,11.044,11:18:48
17,153,-4.3010533,55.8772604,14.013,11:18:53
18,154,-4.3006529,55.8771847,5.116,11:19:04
19,155,-4.3005807,55.8771809,9.156,11:19:08
20,156,-4.3007138,55.8773226,9.109,11:19:19
21,157,-4.300787,55.8773972,8.588,11:19:23
22,158,-4.3009104,55.8775278,9.086,11:19:34
23,159,-4.3009735,55.877566,11.416,11:19:38
24,160,-4.3010847,55.877659,10.105,11:19:49
25,161,-4.301166,55.8777254,10.73,11:19:53
26,162,-4.301145,55.8778284,11.544,11:20:04
27,163,-4.3011219,55.8779771,12.73,11:20:08
28,164,-4.3011751,55.8781034,12.372,11:20:19
29,165,-4.3012115,55.8782078,11.231,11:20:23
30,166,-4.3011675,55.8782926,10.762,11:20:34
31,167,-4.3011331,55.8783754,43.193,11:20:38
32,168,-4.301087,55.8784926,6.77,11:20:49
33,169,-4.3011826,55.878367,4.89,11:20:53
34,170,-4.3008934,55.8786029,5.391,11:21:04
35,171,-4.3009936,55.8785796,15.366,11:21:08
36,172,-4.3007194,55.8787715,7.804,11:21:19
37,173,-4.3006174,55.8788452,42.626,11:21:23
38,174,-4.3005614,55.8789663,8.206,11:21:34
39,175,-4.3005178,55.8790365,43.049,11:21:38
40,176,-4.3002713,55.8790997,7.518,11:21:49
41,177,-4.3001751,55.8791478,42.376,11:21:53
42,178,-4.2999288,55.8792456,6.381,11:22:04
43,179,-4.2998469,55.8792853,41.61,11:22:08
44,180,-4.2998502,55.8794102,8.718,11:22:19
45,181,-4.2998592,55.879471,43.572,11:22:23
46,182,-4.3000575,55.879481,4.7,11:22:34
47,183,-4.3001828,55.8794936,39.237,11:22:38
48,184,-4.300436,55.8794761,6.941,11:22:49
49,185,-4.3004581,55.8794846,5.931,11:22:53
50,186,-4.3007547,55.8795187,7.507,11:23:04
51,187,-4.3004956,55.8795183,6.3,11:23:08
52,188,-4.3009239,55.879671,6.916,11:23:19
53,189,-4.3010521,55.8797814,87.839,11:23:25
54,190,-4.3010744,55.8798474,14.654,11:23:36
55,191,-4.3010945,55.8799452,14.526,11:23:46
56,192,-4.3010017,55.8801332,8.877,11:23:57
57,193,-4.3010015,55.8802087,43.797,11:24:01
58,194,-4.3011389,55.8802836,7.263,11:24:12
59,195,-4.3012235,55.8803421,55.081,11:24:17
60,196,-4.3012085,55.880431,7.501,11:24:27
61,197,-4.3012709,55.8804558,46.988,11:24:32
62,198,-4.3014783,55.8804604,9.113,11:24:43
63,199,-4.3016182,55.8804637,44.092,11:24:47
64,200,-4.3018462,55.8804477,47.385,11:24:59
65,201,-4.3020782,55.8804088,15.947,11:25:05
66,202,-4.302363,55.8804146,14.052,11:25:17
67,203,-4.3024599,55.8804027,13.162,11:25:23
68,204,-4.302928,55.8804247,17.2,11:25:35
69,205,-4.3031825,55.8804437,17.074,11:25:41
70,206,-4.3032633,55.8804802,9.911,11:25:52
71,207,-4.3033364,55.8805017,90.862,11:25:59
72,208,-4.3034006,55.8805442,9.205,11:26:09
73,209,-4.3034112,55.8805874,76.631,11:26:15
74,210,-4.3033825,55.8806271,25.884,11:26:25
75,211,-4.3035389,55.8808247,19.252,11:26:34
76,212,-4.3037718,55.8808462,9.592,11:26:45
77,213,-4.3038938,55.8808747,44.177,11:26:49
78,214,-4.3039388,55.8806888,4.933,11:27:00
79,215,-4.3039924,55.880609,39.724,11:27:04
80,216,-4.3040138,55.8804813,7.607,11:27:15
81,217,-4.3039519,55.8806391,7.112,11:27:19
82,218,-4.3041075,55.880277,4.448,11:27:30
83,219,-4.3042436,55.880203,19.843,11:27:34
84,220,-4.3043136,55.8801131,4.237,11:27:45
85,221,-4.3044074,55.8800873,39.346,11:27:49
86,222,-4.3046242,55.8800999,8.646,11:28:00
87,223,-4.3048208,55.8801485,43.728,11:28:04
88,224,-4.3054591,55.8798643,6.494,11:29:28
89,225,-4.305481,55.8798458,7.396,11:29:39
90,226,-4.3055125,55.8798149,13.493,11:29:44
91,227,-4.3056409,55.8795907,18.17,11:29:56
92,228,-4.3057291,55.8794816,18.518,11:30:02
93,229,-4.306064,55.8795407,18.969,11:30:14
94,230,-4.3063319,55.8796333,18.394,11:30:20
95,231,-4.3065837,55.8796865,13.371,11:30:32
96,232,-4.3066425,55.8797004,12.526,11:30:38
97,233,-4.3069686,55.8797496,9.736,11:30:49
98,234,-4.3070764,55.8797668,13.762,11:30:53
99,235,-4.3000729,55.8771411,33.594,12:35:32
100,236,-4.3000941,55.8771675,26.91,12:35:32
101,237,-4.3000834,55.8771609,26.973,12:35:32
102,238,-4.3001364,55.8771056,42.439,12:35:34
103,239,-4.3001501,55.8771779,163.799,12:35:42
104,240,-4.2942149,55.8749092,16.581,12:43:10
105,241,-4.294258,55.874927,18.497,12:43:22
106,242,-4.2970247,55.8760365,24.578,09:52:27
107,243,-4.2971351,55.8761429,19.329,09:52:27
108,244,-4.2969354,55.8760001,16.387,09:52:34
109,245,-4.2968737,55.8759521,15.892,09:52:35
110,246,-4.2967566,55.875882,15.926,09:52:40
111,247,-4.296669,55.8757455,12.869,09:52:52
112,248,-4.2965542,55.8756838,10.588,09:52:55
113,249,-4.2965141,55.8756195,9.771,09:53:06
114,250,-4.296418,55.8755326,12.791,09:53:10
115,251,-4.2964192,55.8754421,11.056,09:53:21
116,252,-4.2965331,55.8755998,3.773,09:53:25
117,253,-4.2963692,55.8752343,10.46,09:53:37
118,254,-4.2962952,55.8751403,10.671,09:53:40
119,255,-4.2962653,55.8751088,9.269,09:53:52
120,256,-4.2961393,55.8751753,8.448,09:53:55
121,257,-4.2958754,55.875057,12.507,09:54:07
122,258,-4.2957144,55.8749776,10.251,09:54:10
123,259,-4.2954968,55.8749525,8.978,09:54:21
124,260,-4.2952744,55.8749215,6.433,09:54:25
125,261,-4.2952136,55.8748829,7.247,09:54:37
126,262,-4.2950071,55.8747968,13.792,09:54:40
127,263,-4.2948153,55.8747547,12.465,09:54:51
128,264,-4.2946396,55.874718,9.655,09:54:55
129,265,-4.2946546,55.8746503,9.367,09:55:06
130,266,-4.294709,55.8745041,11.114,09:55:10
131,267,-4.2947693,55.8744528,10.164,09:55:21
132,268,-4.2949869,55.8743485,14.148,09:55:25
133,269,-4.2949797,55.8742829,14.068,09:55:36
134,270,-4.2949646,55.8742075,13.982,09:55:40
135,271,-4.2950036,55.8741922,8.292,09:55:52
136,272,-4.2950135,55.8741907,11.018,09:55:55
137,273,-4.2950302,55.8742416,6.715,09:56:07
138,274,-4.295036,55.8742517,9.482,09:56:10
139,275,-4.291521,55.8737612,38.082,12:59:43
140,276,-4.2915362,55.8737609,31.742,12:59:45
141,277,-4.2916468,55.8737456,16.948,12:59:55
